Sin título1.acq
Gráfico creado el:2026-06-19 15:39:43.750
Registro en:2026-06-19 17:09:16.427
1 mseg/muestras
2 canales
ECG (.05 - 150 Hz)
mV
EEG (.5 - 100 Hz, con Filtro Red) 
micro V
min	CH1	CH2	
	144925 samples	144925 samples	
0.0045	0.027771	37.6892	
0.00451667	0.0247192	38.8794	
0.00453333	0.0280762	31.4331	
0.00455	0.03479	17.4866	
0.00456667	0.0445557	9.67407	
0.00458333	0.0540161	14.2365	
0.0046	0.0622559	20.5536	
0.00461667	0.0695801	27.0081	
0.00463333	0.0772095	35.0342	
0.00465	0.0854492	39.8102	
0.00466667	0.0875854	39.0167	
0.00468333	0.0842285	30.7617	
0.0047	0.0814819	14.9384	
0.00471667	0.0750732	3.41797	
0.00473333	0.0637817	9.75037	
0.00475	0.0527954	23.8647	
0.00476667	0.0521851	33.783	
0.00478333	0.0564575	38.9557	
0.0048	0.0695801	35.7819	
0.00481667	0.0857544	23.7274	
0.00483333	0.101013	10.2539	
0.00485	0.114746	5.88989	
0.00486667	0.123596	10.91	
0.00488333	0.128479	15.2893	
0.0049	0.130005	20.813	
0.00491667	0.123901	26.9165	
0.00493333	0.11261	30.2277	
0.00495	0.098877	29.48	
0.00496667	0.0765991	23.3459	
0.00498333	0.0518799	10.8337	
0.005	0.0350952	6.50024	
0.00501667	0.0268555	15.7928	
0.00503333	0.0256348	28.1525	
0.00505	0.0302124	35.8734	
0.00506667	0.0415039	39.3219	
0.00508333	0.062561	34.1034	
0.0051	0.0823975	20.8893	
0.00511667	0.0875854	10.8795	
0.00513333	0.0817871	13.9923	
0.00515	0.0848389	19.8822	
0.00516667	0.0924683	24.9023	
0.00518333	0.0927734	31.8604	
0.0052	0.0869751	38.2843	
0.00521667	0.0775146	40.7104	
0.00523333	0.0653076	36.7584	
0.00525	0.0561523	25.1923	
0.00526667	0.0482178	11.4594	
0.00528333	0.0360107	7.87354	
0.0053	0.0262451	16.4185	
0.00531667	0.0192261	26.9775	
0.00533333	0.0137329	34.7443	
0.00535	0.0186157	37.5519	
0.00536667	0.0405884	27.6184	
0.00538333	0.0704956	10.6049	
0.0054	0.0982666	-0.259399	
0.00541667	0.121765	2.47192	
0.00543333	0.144348	7.49207	
0.00545	0.161438	12.0544	
0.00546667	0.170898	15.8234	
0.00548333	0.173035	18.28	
0.0055	0.169983	18.7988	
0.00551667	0.161133	12.2528	
0.00553333	0.140686	-2.65503	
0.00555	0.106812	-13.8092	
0.00556667	0.0686646	-9.20105	
0.00558333	0.0393677	4.28772	
0.0056	0.020752	16.5558	
0.00561667	0.0177002	23.3765	
0.00563333	0.0296021	21.7133	
0.00565	0.0418091	11.673	
0.00566667	0.0512695	0.244141	
0.00568333	0.0601196	-1.64795	
0.0057	0.0689697	5.0354	
0.00571667	0.0738525	11.6272	
